processor_num,block_size,microseconds
12,100000000,28094533
12,64000000,29862419
12,144000000,40382201
12,25000000,79068949
12,36000000,77506110
12,49000000,85631656
10,25000000,35631756
10,64000000,60121467
10,36000000,74790976
10,49000000,94107805
10,100000000,28116454
10,144000000,40428095
8,144000000,40443253
8,100000000,28100205
8,64000000,32282645
6,144000000,44831514
6,100000000,37317019
6,36000000,80355434
6,25000000,22861608
6,49000000,24021298
6,64000000,79642038
4,144000000,40422525
4,100000000,28121304
4,64000000,32228888
4,49000000,30169914
4,36000000,39239873
4,25000000,23760348
8,49000000,111460921
8,25000000,23280018
8,36000000,15315644
