processor_num,block_size,microseconds
2,100,32578036
3,100,14831500
4,100,12794284
5,100,11915252
6,100,10967068
7,100,11344678
8,100,11708143
2,10000,24770824
3,10000,12395347
4,10000,8591269
5,10000,7663868
6,10000,7074094
7,10000,6890477
8,10000,7146797
2,1000000,25047398
3,1000000,12667664
4,1000000,8560771
5,1000000,7959039
6,1000000,7116334
7,1000000,6662875
8,1000000,6689227
2,4000000,25806758
3,4000000,13170271
4,4000000,8970483
5,4000000,8290153
6,4000000,7438542
7,4000000,7535394
8,4000000,7008646
2,16000000,30436456
3,16000000,15496517
4,16000000,11012666
5,16000000,9699954
6,16000000,9332493
7,16000000,8882631
8,16000000,8841455
9,100,8310255
10,100,8724630
11,100,9129723
12,100,11073423
9,10000,9468401
10,10000,9050605
11,10000,61400145
12,10000,9960582
9,1000000,6206379
10,1000000,6504370
11,1000000,7048391
12,1000000,7122857
9,4000000,7012280
10,4000000,6435314
11,4000000,6760805
12,4000000,6845408
9,16000000,8497997
10,16000000,8730235
11,16000000,8506740
12,16000000,8219553
